"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1975",21.582733,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1976",20.754717,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1977",18.390804,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1978",19.791666,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1979",20,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1980",18.75,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1981",18.253969,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1982",20.819113,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1983",19.155844,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1984",18.674698,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1985",19.607843,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1986",18.848167,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1987",18.518518,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1988",18.793503,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1989",18.589743,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1990",18.181818,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1991",16.015625,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1992",14.258555,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1993",13.224638,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1994",14.409722,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1995",14.478114,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1997",15.254237,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1998",13.242009,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","1999",14.285714,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","2000",17.200001,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","2001",14.342105,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","2002",15,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","2003",13.043478,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","2004",14.352942,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","2005",15.777778,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","2006",16.666666,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","2007",15.4,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","2008",11.937378,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","2009",16.363636,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","2010",14.042933,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","2011",15.966387,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","2012",13.75,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","2013",18,
"AUS","WAGEGAP","TOT","PC_MENWAGE","A","2014",15.384615,
"AUT","WAGEGAP","TOT","PC_MENWAGE","A","2000",23.141943,
"AUT","WAGEGAP","TOT","PC_MENWAGE","A","2001",22.801817,
"AUT","WAGEGAP","TOT","PC_MENWAGE","A","2002",24.489223,
"AUT","WAGEGAP","TOT","PC_MENWAGE","A","2003",21.136923,
"AUT","WAGEGAP","TOT","PC_MENWAGE","A","2004",22.430792,
"AUT","WAGEGAP","TOT","PC_MENWAGE","A","2005",22.032085,
"AUT","WAGEGAP","TOT","PC_MENWAGE","A","2006",21.855131,
"AUT","WAGEGAP","TOT","PC_MENWAGE","A","2007",21.634275,
"AUT","WAGEGAP","TOT","PC_MENWAGE","A","2008",20.91732,
"AUT","WAGEGAP","TOT","PC_MENWAGE","A","2009",19.355967,
"AUT","WAGEGAP","TOT","PC_MENWAGE","A","2010",19.188862,
"AUT","WAGEGAP","TOT","PC_MENWAGE","A","2011",18.550554,
"AUT","WAGEGAP","TOT","PC_MENWAGE","A","2012",18.185057,
"AUT","WAGEGAP","TOT","PC_MENWAGE","A","2013",18.053211,
"AUT","WAGEGAP","TOT","PC_MENWAGE","A","2014",17.728884,
"BEL","WAGEGAP","TOT","PC_MENWAGE","A","1999",15.182987,
"BEL","WAGEGAP","TOT","PC_MENWAGE","A","2000",13.599231,
"BEL","WAGEGAP","TOT","PC_MENWAGE","A","2001",13.186813,
"BEL","WAGEGAP","TOT","PC_MENWAGE","A","2002",11.604714,
"BEL","WAGEGAP","TOT","PC_MENWAGE","A","2003",15.205184,
"BEL","WAGEGAP","TOT","PC_MENWAGE","A","2004",11.832061,
"BEL","WAGEGAP","TOT","PC_MENWAGE","A","2005",11.511092,
"BEL","WAGEGAP","TOT","PC_MENWAGE","A","2006",10.253268,
"BEL","WAGEGAP","TOT","PC_MENWAGE","A","2007",9.8736181,
"BEL","WAGEGAP","TOT","PC_MENWAGE","A","2008",8.9157534,
"BEL","WAGEGAP","TOT","PC_MENWAGE","A","2009",7.4804616,
"BEL","WAGEGAP","TOT","PC_MENWAGE","A","2010",7.0437956,
"BEL","WAGEGAP","TOT","PC_MENWAGE","A","2011",5.838109,
"BEL","WAGEGAP","TOT","PC_MENWAGE","A","2012",6.41115,
"BEL","WAGEGAP","TOT","PC_MENWAGE","A","2013",5.9128633,
"BEL","WAGEGAP","TOT","PC_MENWAGE","A","2014",3.299,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","1997",24.705883,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","1998",24.855492,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","1999",24,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","2000",23.875,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","2001",24.324579,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","2002",24.013159,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","2003",22.50234,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","2004",22.717949,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","2005",21.25,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","2006",21.123322,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","2007",20.808235,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","2008",20.454546,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","2009",20.131868,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","2010",18.97747,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","2011",19.175531,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","2012",19.51123,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","2013",19.303234,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","2014",19.229,
"CAN","WAGEGAP","TOT","PC_MENWAGE","A","2015",18.627451,
"CZE","WAGEGAP","TOT","PC_MENWAGE","A","1996",18.289856,
"CZE","WAGEGAP","TOT","PC_MENWAGE","A","1997",18.429043,
"CZE","WAGEGAP","TOT","PC_MENWAGE","A","1999",19.030313,
"CZE","WAGEGAP","TOT","PC_MENWAGE","A","2001",16.876621,
"CZE","WAGEGAP","TOT","PC_MENWAGE","A","2002",15.950698,
"CZE","WAGEGAP","TOT","PC_MENWAGE","A","2003",15.637497,
"CZE","WAGEGAP","TOT","PC_MENWAGE","A","2004",16.14682,
"CZE","WAGEGAP","TOT","PC_MENWAGE","A","2005",15.93893,
"CZE","WAGEGAP","TOT","PC_MENWAGE","A","2006",15.351767,
"CZE","WAGEGAP","TOT","PC_MENWAGE","A","2007",16.931532,
"CZE","WAGEGAP","TOT","PC_MENWAGE","A","2008",17.87302,
"CZE","WAGEGAP","TOT","PC_MENWAGE","A","2009",15.105018,
"CZE","WAGEGAP","TOT","PC_MENWAGE","A","2010",15.798503,
"CZE","WAGEGAP","TOT","PC_MENWAGE","A","2011",16.329657,
"CZE","WAGEGAP","TOT","PC_MENWAGE","A","2012",15.26298,
"CZE","WAGEGAP","TOT","PC_MENWAGE","A","2013",15.378836,
"CZE","WAGEGAP","TOT","PC_MENWAGE","A","2014",16.25456,
"CZE","WAGEGAP","TOT","PC_MENWAGE","A","2015",16.455154,
"DNK","WAGEGAP","TOT","PC_MENWAGE","A","2008",10.183549,
"DNK","WAGEGAP","TOT","PC_MENWAGE","A","2009",10.172005,
"DNK","WAGEGAP","TOT","PC_MENWAGE","A","2010",8.8950987,
"DNK","WAGEGAP","TOT","PC_MENWAGE","A","2011",7.9471974,
"DNK","WAGEGAP","TOT","PC_MENWAGE","A","2012",6.999845,
"DNK","WAGEGAP","TOT","PC_MENWAGE","A","2013",6.7689118,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","1977",27.690401,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","1978",27.088608,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","1979",27.168949,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","1980",26.623819,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","1982",25.961538,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","1983",25.631742,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","1984",23.427042,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","1986",22.53142,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","1987",23.612841,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","1988",23.045794,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","1989",23.559036,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","1990",22.862103,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","1991",21.467747,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","1992",20.284986,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","1993",21.984812,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","1994",23.149578,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","1995",22.402195,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","1996",20.58267,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","1997",21.332012,
"FIN","WAGEGAP","TOT","PC_MENWAGE","A","1998",20.800426,
